Sample Type,File Name,Path,Instrument Method,Position,Inj Vol,Sample Name,ionMode,goodData,dilution,sample,replicate
Unknown,mtab_JBowen_Plants_2023_0524_48,D:\Kujawinski\2023_0524 Bowen_Plants_1,C:\Xcalibur\methods\Training\UPLC_pos_HCD_OT_062018_noIC_MS2_7p5k,R:D4,5,Bowen_dil1_TB3 pos,pos,0,1,TB,3
Unknown,mtab_JBowen_Plants_2023_0524_49,D:\Kujawinski\2023_0524 Bowen_Plants_1,C:\Xcalibur\methods\Training\UPLC_pos_HCD_OT_062018_noIC_MS2_7p5k,R:D1,5,Bowen_dil1_pool pos,pos,0,1,pool,
Unknown,mtab_JBowen_Plants_2023_0524_50,D:\Kujawinski\2023_0524 Bowen_Plants_1,C:\Xcalibur\methods\Training\UPLC_pos_HCD_OT_062018_noIC_MS2_7p5k,R:D5,5,Bowen_dil1_TB2 pos,pos,0,1,TB,2
Unknown,mtab_JBowen_Plants_2023_0524_51,D:\Kujawinski\2023_0524 Bowen_Plants_1,C:\Xcalibur\methods\Training\UPLC_pos_HCD_OT_062018_noIC_MS2_7p5k,R:D6,5,Bowen_dil1_Blank1 pos,pos,0,1,Blank,1
Unknown,mtab_JBowen_Plants_2023_0524_52,D:\Kujawinski\2023_0524 Bowen_Plants_1,C:\Xcalibur\methods\Training\UPLC_pos_HCD_OT_062018_noIC_MS2_7p5k,R:D1,5,Bowen_dil1_pool pos,pos,0,1,pool,
Unknown,mtab_JBowen_Plants_2023_0524_53,D:\Kujawinski\2023_0524 Bowen_Plants_1,C:\Xcalibur\methods\Training\UPLC_neg_HCD_OT_062018_noIC_MS2_7p5k,R:D1,5,Bowen_dil1_pool neg,neg,1,1,pool,
Unknown,mtab_JBowen_Plants_2023_0524_54,D:\Kujawinski\2023_0524 Bowen_Plants_1,C:\Xcalibur\methods\Training\UPLC_neg_HCD_OT_062018_noIC_MS2_7p5k,R:D2,5,Bowen_dil1_SB1 neg,neg,1,1,SB,1
Unknown,mtab_JBowen_Plants_2023_0524_55,D:\Kujawinski\2023_0524 Bowen_Plants_1,C:\Xcalibur\methods\Training\UPLC_neg_HCD_OT_062018_noIC_MS2_7p5k,R:D3,5,Bowen_dil1_Blank2 neg,neg,1,1,Blank,2
Unknown,mtab_JBowen_Plants_2023_0524_56,D:\Kujawinski\2023_0524 Bowen_Plants_1,C:\Xcalibur\methods\Training\UPLC_neg_HCD_OT_062018_noIC_MS2_7p5k,R:D4,5,Bowen_dil1_TB3 neg,neg,1,1,TB,3
Unknown,mtab_JBowen_Plants_2023_0524_57,D:\Kujawinski\2023_0524 Bowen_Plants_1,C:\Xcalibur\methods\Training\UPLC_neg_HCD_OT_062018_noIC_MS2_7p5k,R:D1,5,Bowen_dil1_pool neg,neg,1,1,pool,
Unknown,mtab_JBowen_Plants_2023_0524_58,D:\Kujawinski\2023_0524 Bowen_Plants_1,C:\Xcalibur\methods\Training\UPLC_neg_HCD_OT_062018_noIC_MS2_7p5k,R:D5,5,Bowen_dil1_TB2 neg,neg,1,1,TB,2
Unknown,mtab_JBowen_Plants_2023_0524_59,D:\Kujawinski\2023_0524 Bowen_Plants_1,C:\Xcalibur\methods\Training\UPLC_neg_HCD_OT_062018_noIC_MS2_7p5k,R:D6,5,Bowen_dil1_Blank1 neg,neg,1,1,Blank,1
Unknown,mtab_JBowen_Plants_2023_0524_60,D:\Kujawinski\2023_0524 Bowen_Plants_1,C:\Xcalibur\methods\Training\UPLC_neg_HCD_OT_062018_noIC_MS2_7p5k,R:D1,5,Bowen_dil1_pool neg,neg,1,1,pool,
Blank,mtab_JBowen_Plants_2023_0524_61,D:\Kujawinski\2023_0524 Bowen_Plants_1,C:\Xcalibur\methods\Training\UPLC_pos_HCD_OT_062018_noIC_MS2_7p5k,R:A1,5,MQ Blank pos,pos,0,,,
Blank,mtab_JBowen_Plants_2023_0524_62,D:\Kujawinski\2023_0524 Bowen_Plants_1,C:\Xcalibur\methods\Training\UPLC_neg_HCD_OT_062018_noIC_MS2_7p5k,R:A1,5,MQ Blank neg,neg,0,,,
